zcta19,year,avg_download_speed,avg_upload_speed,tot_hs_providers,res_hs_providers
32221,2020,189.0867,55.73262,2,2
32222,2020,234.5865,90.19319,2,2
32223,2020,177.2768,36.70277,2,2
32224,2020,166.305,42.97242,3,3
32225,2020,166.3896,38.13874,2,2
32226,2020,147.9386,38.27308,2,2
32227,2020,157.5485,16.7173,1,1
32228,2020,219.8,18.46,1,1
32233,2020,160.0569,24.78225,2,2
32234,2020,132.9182,15.60181,2,2
32244,2020,228.0994,99.48606,2,2
32246,2020,211.395,84.26663,2,2
32250,2020,172.0193,32.40926,2,2
32254,2020,158.8688,27.9871,2,2
32256,2020,167.5391,59.52215,3,3
32257,2020,189.3349,53.61154,3,3
32258,2020,203.1038,69.74618,2,2
32259,2020,185.4156,67.23502,2,2
32266,2020,155.9614,17.03337,2,2
32277,2020,209.7811,77.82694,2,2
32301,2020,166.9695,22.56422,2,2
32303,2020,182.4722,14.73156,2,2
32304,2020,196.7904,47.77379,3,3
32305,2020,147.8938,9.457964,2,2
32308,2020,175.137,25.60406,2,2
32309,2020,142.0532,10.98289,3,3
32310,2020,158.8359,16.16974,3,3
32311,2020,189.9722,29.42637,2,2
32312,2020,161.5618,13.07851,4,4
32317,2020,160.2193,21.44045,2,2
32320,2020,147.3809,9.355572,1,1
32321,2020,39.91732,3.758463,1,1
32322,2020,106.2091,7.199073,1,1
32323,2020,111.5481,7.356296,1,1
32324,2020,56.34273,5.184071,1,1
32327,2020,148.1173,8.174764,2,2
32328,2020,107.2496,7.27161,1,1
32330,2020,122.1506,9.003707,1,1
32331,2020,28.4101,2.437304,0,0
32332,2020,132.3885,8.205678,2,2
32333,2020,141.75,13.01932,3,3
32334,2020,24.63626,3.157063,0,0
32336,2020,21.61073,2.484829,0,0
