GEO_ID,NAME,C15002I_001E,C15002I_001M,C15002I_002E,C15002I_002M,C15002I_003E,C15002I_003M,C15002I_004E,C15002I_004M,C15002I_005E,C15002I_005M,C15002I_006E,C15002I_006M,C15002I_007E,C15002I_007M,C15002I_008E,C15002I_008M,C15002I_009E,C15002I_009M,C15002I_010E,C15002I_010M,C15002I_011E,C15002I_011M,
860Z200US36268,ZCTA5 36268,56,65,0,18,0,18,0,18,0,18,0,18,56,65,0,18,20,43,0,18,36,58,
860Z200US36269,ZCTA5 36269,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36271,ZCTA5 36271,93,117,50,62,50,62,0,18,0,18,0,18,43,56,43,56,0,18,0,18,0,18,
860Z200US36272,ZCTA5 36272,202,118,68,41,21,29,47,36,0,20,0,20,134,105,39,37,67,84,14,21,14,29,
860Z200US36273,ZCTA5 36273,87,68,78,70,0,13,74,72,0,13,4,9,9,11,0,13,0,13,0,13,9,11,
860Z200US36274,ZCTA5 36274,82,81,61,76,13,25,48,70,0,20,0,20,21,33,0,20,0,20,12,32,9,16,
860Z200US36276,ZCTA5 36276,8,11,4,7,0,13,3,5,1,5,0,13,4,7,0,13,0,13,4,7,0,13,
860Z200US36277,ZCTA5 36277,115,109,71,81,23,34,36,76,12,23,0,18,44,42,8,13,9,17,18,29,9,17,
860Z200US36278,ZCTA5 36278,50,52,28,32,3,7,5,9,0,13,20,29,22,22,4,7,0,13,4,8,14,20,
860Z200US36279,ZCTA5 36279,18,28,0,13,0,13,0,13,0,13,0,13,18,28,0,13,0,13,18,28,0,13,
860Z200US36280,ZCTA5 36280,106,77,23,38,23,38,0,13,0,13,0,13,83,55,43,37,25,30,0,13,15,29,
860Z200US36301,ZCTA5 36301,839,162,540,120,187,83,191,81,114,67,48,24,299,66,68,45,106,39,77,36,48,22,
860Z200US36303,ZCTA5 36303,577,113,296,81,105,55,56,33,56,30,79,46,281,60,79,35,58,30,74,37,70,37,
860Z200US36305,ZCTA5 36305,430,97,180,60,75,38,39,30,35,20,31,21,250,68,46,32,56,38,105,47,43,18,
860Z200US36310,ZCTA5 36310,105,62,68,41,36,33,11,17,15,18,6,12,37,32,10,15,11,11,16,20,0,18,
860Z200US36311,ZCTA5 36311,45,39,24,28,7,10,0,13,17,25,0,13,21,24,8,13,13,21,0,13,0,13,
860Z200US36312,ZCTA5 36312,149,93,78,56,55,49,17,18,6,6,0,18,71,53,0,18,38,39,33,33,0,18,
860Z200US36313,ZCTA5 36313,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36314,ZCTA5 36314,2,4,0,13,0,13,0,13,0,13,0,13,2,4,0,13,0,13,0,13,2,4,
860Z200US36316,ZCTA5 36316,92,72,27,21,0,13,11,12,4,7,12,16,65,75,32,43,6,8,25,37,2,3,
860Z200US36317,ZCTA5 36317,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36318,ZCTA5 36318,4,8,0,13,0,13,0,13,0,13,0,13,4,8,0,13,0,13,0,13,4,8,
860Z200US36319,ZCTA5 36319,22,22,19,21,9,12,0,13,10,17,0,13,3,5,0,13,3,5,0,13,0,13,
860Z200US36320,ZCTA5 36320,53,56,10,16,10,16,0,13,0,13,0,13,43,42,0,13,28,33,15,21,0,13,
860Z200US36321,ZCTA5 36321,44,31,19,17,8,10,4,7,0,13,7,11,25,22,8,10,0,13,17,20,0,13,
860Z200US36322,ZCTA5 36322,394,156,114,56,37,46,36,37,32,31,9,15,280,132,89,70,20,28,154,116,17,23,
860Z200US36323,ZCTA5 36323,51,50,3,5,2,4,1,2,0,18,0,18,48,49,0,18,15,20,33,35,0,18,
860Z200US36330,ZCTA5 36330,2518,195,1463,169,382,122,369,182,470,146,242,98,1055,92,239,98,118,93,430,105,268,134,
860Z200US36340,ZCTA5 36340,113,71,0,18,0,18,0,18,0,18,0,18,113,71,54,48,13,22,46,27,0,18,
860Z200US36343,ZCTA5 36343,6,6,0,13,0,13,0,13,0,13,0,13,6,6,1,2,0,13,5,7,0,13,
860Z200US36344,ZCTA5 36344,165,85,79,47,31,43,0,18,44,54,4,6,86,56,0,18,9,17,62,53,15,24,
860Z200US36345,ZCTA5 36345,64,47,23,24,5,7,7,10,0,18,11,14,41,40,12,13,28,41,1,3,0,18,
860Z200US36346,ZCTA5 36346,5,7,1,2,0,13,1,2,0,13,0,13,4,5,2,4,2,3,0,13,0,13,
860Z200US36350,ZCTA5 36350,136,91,72,53,67,52,5,5,0,18,0,18,64,61,33,58,10,15,9,12,12,15,
860Z200US36351,ZCTA5 36351,102,49,53,31,12,12,2,3,21,24,18,22,49,28,15,14,13,20,2,4,19,16,
860Z200US36352,ZCTA5 36352,16,22,9,11,3,4,0,18,0,18,6,11,7,11,0,18,0,18,0,18,7,11,
860Z200US36353,ZCTA5 36353,61,57,48,43,13,15,33,32,2,4,0,13,13,15,13,15,0,13,0,13,0,13,
860Z200US36360,ZCTA5 36360,602,217,343,147,178,103,44,36,39,32,82,88,259,100,153,98,30,36,41,43,35,29,
860Z200US36362,ZCTA5 36362,294,89,126,51,0,18,12,21,56,42,58,52,168,67,0,18,61,45,56,52,51,60,
860Z200US36370,ZCTA5 36370,5,6,0,13,0,13,0,13,0,13,0,13,5,6,0,13,0,13,0,13,5,6,
860Z200US36371,ZCTA5 36371,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36373,ZCTA5 36373,7,12,0,13,0,13,0,13,0,13,0,13,7,12,0,13,7,12,0,13,0,13,
860Z200US36374,ZCTA5 36374,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36375,ZCTA5 36375,139,73,98,56,60,48,38,46,0,18,0,18,41,42,19,30,3,5,19,24,0,18,
860Z200US36376,ZCTA5 36376,9,10,9,10,7,9,2,3,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36401,ZCTA5 36401,70,97,54,70,12,19,42,68,0,18,0,18,16,30,0,18,16,30,0,18,0,18,
860Z200US36420,ZCTA5 36420,267,107,131,52,15,23,20,23,73,59,23,27,136,71,46,46,73,47,17,21,0,20,
